Time,SourceSatellite,TargetSatellite,Distance
2020-08-01 16:15:00,Sat2_2,Sat2_3,1971.9637837869216
2020-08-01 16:20:00,Sat2_2,Sat2_3,1971.9637837869236
2020-08-01 16:25:00,Sat2_2,Sat2_3,1971.9637837869202
2020-08-01 16:30:00,Sat2_2,Sat2_3,1971.9163791589237
2020-08-01 16:00:00,Sat2_3,Sat3_3,764.1236559262053
2020-08-01 16:05:00,Sat2_3,Sat3_3,713.6177702491268
2020-08-01 16:10:00,Sat2_3,Sat3_3,674.9532363061109
2020-08-01 16:15:00,Sat2_3,Sat3_3,667.2089232062434
2020-08-01 16:20:00,Sat2_3,Sat3_3,694.5456664132513
2020-08-01 16:25:00,Sat2_3,Sat3_3,742.795235121992
2020-08-01 16:30:00,Sat2_3,Sat3_3,790.1455180454204
2020-08-01 16:00:00,Sat2_3,Sat2_4,1971.9637837869204
2020-08-01 16:05:00,Sat2_3,Sat2_4,1971.9637837869207
2020-08-01 16:10:00,Sat2_3,Sat2_4,1971.9637837869193
2020-08-01 16:15:00,Sat2_3,Sat2_4,1971.96378378692
2020-08-01 16:20:00,Sat2_3,Sat2_4,1971.963783786921
2020-08-01 16:25:00,Sat2_3,Sat2_4,1971.9637837869227
2020-08-01 16:30:00,Sat2_3,Sat2_4,1971.9163791593476
2020-08-01 16:00:00,Sat2_4,Sat3_4,720.0206642877471
2020-08-01 16:05:00,Sat2_4,Sat3_4,678.5540254596945
2020-08-01 16:10:00,Sat2_4,Sat3_4,666.1133686370825
2020-08-01 16:15:00,Sat2_4,Sat3_4,689.3522638264527
2020-08-01 16:20:00,Sat2_4,Sat3_4,736.0860948875264
2020-08-01 16:25:00,Sat2_4,Sat3_4,784.7469919830171
2020-08-01 16:30:00,Sat2_4,Sat3_4,816.3286108056567
2020-08-01 16:00:00,Sat2_4,Sat2_5,1971.9637837869216
2020-08-01 16:05:00,Sat2_4,Sat2_5,1971.9637837869193
2020-08-01 16:10:00,Sat2_4,Sat2_5,1971.9637837869188
2020-08-01 16:15:00,Sat2_4,Sat2_5,1971.9637837869204
2020-08-01 16:20:00,Sat2_4,Sat2_5,1971.9637837869225
2020-08-01 16:25:00,Sat2_4,Sat2_5,1971.9637837869186
2020-08-01 16:30:00,Sat2_4,Sat2_5,1971.9163791595618
2020-08-01 16:00:00,Sat2_5,Sat3_5,682.6693683659945
2020-08-01 16:05:00,Sat2_5,Sat3_5,665.6553575464388
2020-08-01 16:10:00,Sat2_5,Sat3_5,684.572040076537
2020-08-01 16:15:00,Sat2_5,Sat3_5,729.4045884740217
2020-08-01 16:20:00,Sat2_5,Sat3_5,779.0300384206491
2020-08-01 16:25:00,Sat2_5,Sat3_5,813.6650434435389
2020-08-01 16:30:00,Sat2_5,Sat3_5,821.2997115884293
2020-08-01 16:00:00,Sat2_5,Sat2_6,1971.963783786923
2020-08-01 16:05:00,Sat2_5,Sat2_6,1971.9637837869197
2020-08-01 16:10:00,Sat2_5,Sat2_6,1971.9637837869207
2020-08-01 16:15:00,Sat2_5,Sat2_6,1971.9637837869209
2020-08-01 16:20:00,Sat2_5,Sat2_6,1971.9637837869207
2020-08-01 16:25:00,Sat2_5,Sat2_6,1971.9637837869157
2020-08-01 16:30:00,Sat2_5,Sat2_6,1971.916379159502
2020-08-01 16:00:00,Sat2_6,Sat3_6,665.8395684040038
2020-08-01 16:05:00,Sat2_6,Sat3_6,680.2491527490012
2020-08-01 16:10:00,Sat2_6,Sat3_6,722.8012185924241
2020-08-01 16:15:00,Sat2_6,Sat3_6,773.0461508764073
2020-08-01 16:20:00,Sat2_6,Sat3_6,810.512875343582
2020-08-01 16:25:00,Sat2_6,Sat3_6,822.0329766084529
2020-08-01 16:30:00,Sat2_6,Sat3_6,803.8456154412359
2020-08-01 16:00:00,Sat2_6,Sat2_7,1971.9637837869227
2020-08-01 16:05:00,Sat2_6,Sat2_7,1971.9637837869213
2020-08-01 16:10:00,Sat2_6,Sat2_7,1971.9637837869218
2020-08-01 16:15:00,Sat2_6,Sat2_7,1971.9637837869243
2020-08-01 16:20:00,Sat2_6,Sat2_7,1971.9637837869243
2020-08-01 16:25:00,Sat2_6,Sat2_7,1971.9637837869245
2020-08-01 16:30:00,Sat2_6,Sat2_7,1971.9163791591907
